eventID,orig_last_modified,time_value,time_value_ms,quality_standardError,latitude_value,longitude_value,depth_value, absolute_depth_value, magnitude_value_P,quality_XellipseError,quality_YellipseError,theta_ellipseError,station_coda,coda_value, quality_associatedPhaseCount,quality_associated_SPhaseCount,  quality_azimuthalGap,quality_MinEpicDist,quality_MinHipoDist, creationInfo_agencyID
2010012611.57P,2010-01-27T12:17:18,2010-01-26 11:57:29,   560,0.564,   0.5813, -78.9199,  13.43, -10.13,   3.60,   1.90,   2.76,   83.07,   vc1,    90,    22,    5, 196.30,  65.06,  66.43,    EPN
2010012723.38P,2010-01-28T10:23:28,2010-01-27 11:38:26,   700,0.384,  -2.8575, -78.6582,  79.01, -75.71,   4.30,   3.28,   4.50,   74.73,   vc1,   230,    36,    4, 300.73, 151.82, 171.15,    EPN
2010012809.47P,2010-01-28T10:34:36,2010-01-28 09:47:16,   780,0.520,  -1.7008, -77.7427, 257.50,-254.20,   3.70,   3.80,   7.83,    5.36,   vc1,   100,    28,    1, 227.40,  79.26, 269.42,    EPN
2010012901.24P,2010-01-29T11:43:57,2010-01-29 01:23:57,   690,0.931,  -1.0518, -80.3681,  45.00, -41.70,   3.90,   4.25,  15.14,  167.27,   vc1,   120,    21,    1, 238.05,  30.54,  54.38,    EPN
2010012905.59P,2010-01-29T11:50:44,2010-01-29 05:59:43,   950,0.581,   0.3208, -78.3164,  12.67,  -9.37,   3.80,   1.24,   1.59,   24.18,   vc1,   120,    24,    5, 127.33,  17.07,  21.26,    EPN
2010012919.25P,2010-02-03T09:11:41,2010-01-29 07:25:22,   870,0.290,  -0.9360, -79.1693, 135.39,-132.09,   3.70,   1.18,   1.49,  164.39,   vc1,   120,    31,    4, 141.22,  64.47, 149.96,    EPN
2010013009.56P,2010-02-03T09:50:23,2010-01-30 09:56:28,   190,0.632,   0.4334, -79.9382,  24.06, -20.76,   3.90,   3.07,   6.88,   71.05,   vc1,   130,    17,    1, 256.40,  59.06,  63.77,    EPN
2010013013.47P,2010-02-03T10:18:53,2010-01-30 01:46:59,   100,0.685,  -1.9105, -80.1310,  14.28, -10.98,   3.80,   2.02,   5.19,  122.44,   vc1,   110,    30,    6, 280.79, 172.27, 172.86,    EPN
2010013119.17P,2010-02-03T18:30:32,2010-01-31 07:17:03,   340,0.363,  -2.2245, -78.1953,   6.47,  -3.17,   3.50,   1.70,   5.29,  159.53,   vc1,    70,    17,    6, 336.36,  84.19,  84.44,    EPN
2010013123.41P,2010-02-03T18:42:56,2010-01-31 11:41:33,    60,0.145,  -1.6599, -78.2590,  12.00,  -8.70,   3.50,   0.93,   1.20,   25.55,   vc1,    80,    17,    3, 302.16,  26.06,  28.69,    EPN
